,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
105,1085334,AQSU-58E8,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:30+00:00,2023-06-15T03:05:26+00:00,55.352,-118.793,PurpleAir Sensor,PurpleAir,500.0,41.1353046875,220.0,0.5397500000000001,8.2,48.0,0.09
106,1085523,UBC Chancellor Blvd,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:25+00:00,2023-06-15T04:03:03+00:00,49.27204,-123.251686,PurpleAir Sensor,PurpleAir,75.0,7.423169758378799,41.875,0.38125,2.3,7.6,0.0
107,1088207,Whapmagoostui Firehall,pm25,PM2.5,µg/m³,None,2023-11-24T14:42:52+00:00,2023-06-15T18:10:34+00:00,55.277046,-77.7615,PurpleAir Sensor,PurpleAir,430.0,22.851822597096902,182.99999999999727,0.13700000000000004,1.8,21.0,0.0
108,1088414,TMTV Longbeach Studios,pm25,PM2.5,µg/m³,None,2024-02-07T13:59:17+00:00,2023-06-15T19:57:08+00:00,49.613476,-117.08079,PurpleAir Sensor,PurpleAir,480.0,23.831124970553592,200.0,0.11,4.4,19.0,0.0
109,1091670,Chibou-chibi / 0-60B,pm25,PM2.5,µg/m³,None,2023-07-14T15:53:53+00:00,2023-06-06T15:13:08+00:00,49.757763,-74.42647,PurpleAir Sensor,PurpleAir,900.0,93.82244107744107,591.7499999999995,4.112500000000001,12.0,68.0,0.0
110,1091836,Whapmagoostui Water Plant,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:44+00:00,2023-06-16T14:10:46+00:00,55.27713,-77.7511,PurpleAir Sensor,PurpleAir,410.0,17.2142682319314,150.0,0.025400000000000006,0.59,16.0,0.0
111,1092436,ACA_Belmont,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:48+00:00,2023-06-16T17:25:15+00:00,53.59432,-113.394005,PurpleAir Sensor,PurpleAir,410.0,29.867862119999998,175.2500000000009,0.0,2.8,38.0,0.0
112,1092642,Metcalfe,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:30+00:00,2023-06-16T18:50:28+00:00,45.29022,-75.494675,PurpleAir Sensor,PurpleAir,290.0,17.898600637704266,85.29999999999973,0.87,6.2,20.0,0.0
113,1092807,CH-Chibougamau,pm25,PM2.5,µg/m³,None,2024-02-03T17:13:51+00:00,2023-06-16T19:20:33+00:00,49.91594,-74.34873,PurpleAir Sensor,PurpleAir,870.0,31.219078444802577,319.7499999999991,0.24,4.0,21.0,0.0
114,1092823,"House - Penn Drive, Burlington, Ontario",pm25,PM2.5,µg/m³,None,2024-02-07T14:12:26+00:00,2023-06-16T19:47:41+00:00,43.346863,-79.763435,PurpleAir Sensor,PurpleAir,200.0,18.220436246476037,68.89999999999964,1.4,7.05,23.0,0.0
115,1096007,Rivière du moulin,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:01+00:00,2023-06-17T12:23:36+00:00,48.436783,-71.02157,PurpleAir Sensor,PurpleAir,630.0,19.10878625498008,81.0,0.0036725000000000004,3.4,17.0,0.0
116,1096021,Westcourt,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:04+00:00,2021-10-21T18:41:16+00:00,43.461143,-80.540436,PurpleAir Sensor,PurpleAir,180.0,14.274285668662674,44.40000000000009,0.0036,3.7,22.0,0.0
117,1096359,Islet Lake,pm25,PM2.5,µg/m³,None,2024-02-07T13:59:14+00:00,2023-06-17T14:31:25+00:00,53.47218,-112.83021,PurpleAir Sensor,PurpleAir,350.0,25.6514887250996,150.0,0.34450000000000003,5.6,33.0,0.0
118,1099205,Yale BC,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:50+00:00,2023-06-18T06:36:22+00:00,49.561203,-121.43814,PurpleAir Sensor,PurpleAir,420.0,19.836268800000003,190.0,0.2805,2.9,13.0,0.0
119,1104699,Canmore,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:46+00:00,2023-06-19T13:19:01+00:00,51.08092,-115.33024,PurpleAir Sensor,PurpleAir,160.0,22.126388096208725,99.69999999999982,0.1,5.4,32.0,0.0
